Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
BVSN,"BroadVision, Inc.",1.34,6778525.34,,1996.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bvsn,
BYFC,Broadway Financial Corporation,1.4,39031791.4,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/byfc,
BWEN,"Broadwind Energy, Inc.",1.85,29573554.25,,,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/bwen,
BPY,Brookfield Property Partners L.P.,18.48,7648108757.52,,,Finance,Real Estate,https://www.nasdaq.com/symbol/bpy,
BPYPP,Brookfield Property Partners L.P.,24.96,159744000.0,,,Finance,Real Estate,https://www.nasdaq.com/symbol/bpypp,
BPR,Brookfield Property REIT Inc.,18.44,13534651277.52,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/bpr,
BPRAP,Brookfield Property REIT Inc.,24.76,247600000.0,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/bprap,
BRKL,"Brookline Bancorp, Inc.",14.35,1144761004.1,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/brkl,
BRKS,"Brooks Automation, Inc.",35.49,2560151002.5,,1995.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/brks,
DOOO,BRP Inc.,29.95,1267291691.05,,,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/dooo,
BRKR,Bruker Corporation,41.77,6550228421.29,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/brkr,
BMTC,Bryn Mawr Bank Corporation,36.56,736579840.56,,,Finance,Major Banks,https://www.nasdaq.com/symbol/bmtc,
BSQR,BSQUARE Corporation,1.4,17972547.6,,1999.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/bsqr,
BLDR,"Builders FirstSource, Inc.",14.08,1627751671.04,,2005.0,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/bldr,
BFST,"Business First Bancshares, Inc.",24.52,327623538.64,,,Finance,Major Banks,https://www.nasdaq.com/symbol/bfst,
CFFI,C&F Financial Corporation,48.06,166759885.62,,,Finance,Major Banks,https://www.nasdaq.com/symbol/cffi,
CHRW,"C.H. Robinson Worldwide, Inc.",79.63,10874474263.9,,1997.0,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/chrw,
CCMP,Cabot Microelectronics Corporation,97.47,2832656570.1,,2000.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/ccmp,
CDNS,"Cadence Design Systems, Inc.",63.57,17865077100.0,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cdns,
CDZI,"Cadiz, Inc.",10.38,272340983.82,,,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/cdzi,
CZR,Caesars Entertainment Corporation,8.79,5913201398.82,,2012.0,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/czr,
CSTE,Caesarstone Ltd.,13.87,476691247.57,,2012.0,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cste,
CLBS,"Caladrius Biosciences, Inc.",2.91,30212295.12,,,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/clbs,
CHY,Calamos Convertible and High Income Fund,10.53,770391089.91,,2003.0,,,https://www.nasdaq.com/symbol/chy,
CHI,Calamos Convertible Opportunities and Income Fund,9.95,705184469.45,,2002.0,,,https://www.nasdaq.com/symbol/chi,
CCD,Calamos Dynamic Convertible & Income Fund,18.55,453132647.8,,,,,https://www.nasdaq.com/symbol/ccd,
CHW,Calamos Global Dynamic Income Fund,7.68,454618076.16,,2007.0,,,https://www.nasdaq.com/symbol/chw,
CGO,Calamos Global Total Return Fund,12.17,105346903.26,,2005.0,,,https://www.nasdaq.com/symbol/cgo,
CSQ,Calamos Strategic Total Return Fund,11.93,1844679733.56,,2004.0,,,https://www.nasdaq.com/symbol/csq,
CAMP,CalAmp Corp.,10.16,341349015.04,,1983.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/camp,
CVGW,"Calavo Growers, Inc.",87.45,1539120000.0,,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/cvgw,
